wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4840159063580842,小陈小陈心想事成事业有成,7798444974,f,2022-11-26 20:55:09,#追剧打卡#看完了风起洛阳，百里二郎和高秉烛的结局一个没有了阿爷，一个没有了阿娘，申非走了，武思月也没了，太刀了吧幸好二郎身边还有个七娘，但是高秉烛依旧是一个人#风起洛阳##黄轩#风起洛阳#王一博风起洛阳#,0,0,0
4840040247594277,小八娱,2134491142,f,2022-11-26 13:03:01,"我的男孩也太好看了吧

#风起洛阳# #王一博# 小八娱的微博视频",1,1,0
4840037706112065,愿您们冬天不冷,3007970567,f,2022-11-26 12:52:55,#剧综作品中你最敬仰的人物角色#百里弘毅#微博视界大会##王一博百里弘毅# @UNIQ-王一博 #风起洛阳# @风起洛阳官微,3,0,0
4839946471604941,是谁把月亮叫醒,7769093064,f,2022-11-26 06:50:23,"王一博#王一博# wyb#风起洛阳#
风起洛阳危机重重，
和神都少年王一博百里弘毅一起探案
拨云见日",1,2,0
4839854998031274,奥里万,5678119651,m,2022-11-26 00:46:54,"#长安十二时辰##风起洛阳##御赐小仵作##唐朝诡事录#我看完的电视剧，居然都是唐朝，居然都是团体破案。

长安⭐⭐⭐⭐⭐结尾有点仓促，瑕不掩瑜。洛阳⭐⭐⭐☆男一号不应该去掉胡子。小仵作⭐⭐⭐总觉得差口气，不够大气，老演员演技很好。诡事录⭐⭐⭐剧情上有些漏洞。

这些剧都有一个问题，唐刀的刀锷、护手不是剧中（图5）这个样子的吧，道具组从网上买的吧？B站上有考据党，他们说这种刀锷、护手是日本的，不是唐朝的。",1,2,0
4839854658291700,G高源-,5684716218,f,2022-11-26 00:45:33,#风起洛阳#高秉烛也太惨了到最后还是孤身一人,0,0,0
4839809317867463,FINE_光盲,3525374177,f,2022-11-25 21:45:23,#风起洛阳#这么好看的剧咋这么多人骂烂尾呢。最近几年看完的国产剧只有周生如故，庆余年，风起洛阳。,0,1,0
4839279648052589,风起洛阳官微,7507224548,m,2022-11-24 10:40:40,聚力·焕新，耀视界。2022#微博视界大会#，以“微博之力”汇聚剧综先锋力量。风起洛阳时，梦回神都日。11月29日，与我一起，向光而行，焕新出发，共赴美好生活！一起聊聊#剧综作品中你最敬仰的人物角色#吧！#风起洛阳#,6687,722,402
4839722746909434,小王娱乐c,6375618935,f,2022-11-25 16:01:23,王一博彻底掉进河南话里了，和黄轩飙方言狂笑场，笑点开关在这？#王一博##黄轩##风起洛阳#新浪娱乐 威海 小王娱乐c的微博视频,9,8,3
4839664827760700,niLe_琳,7477765449,f,2022-11-25 12:11:13,"#风起洛阳#

刚看完这部剧，我真的喜欢黄轩的演艺他演的非常非常好！看他哭就想哭，看他痛苦的样子自己就跟他痛苦了，尤其是最后一场高秉烛这个角色真的太可怜啊🥺

#黄轩##黄轩超话##黄轩风起洛阳#",0,0,0
4839661695145344,魔法水果糖,5892408734,f,2022-11-25 11:58:47,二郎和七娘互表心意后，主动抱抱啦，反正我是又甜又酸啦~#风起洛阳##宋轶##王一博# 魔法水果糖的微博视频,8,1,1
4839487676874862,我是只桔子,1880899570,m,2022-11-25 00:27:17,最近接触的古装剧像#风起洛阳#就很好，至于什么#卿卿日常#恋爱糖水剧的外表包裹着毒药，21世纪了能不能少宣扬入了土的糟粕思想。,0,2,0
4839133757309793,卢珊_s,2706122192,f,2022-11-24 01:00:57,"#风起洛阳# 演技在线 智商在线 服化道绝美
收藏",1,1,0
4839066031622392,自由自在的自我,7373306574,f,2022-11-23 20:31:50,谁都知道我爱你#冬天开始重温的第一部剧##一起老剧新看#风起洛阳#风起洛阳# 我的月下烛火！#谁都知道我爱你# 我的何其有幸！武思月和何笑然都是最温暖正义的存在！,5,0,0
4839057756783975,有人捡到一个宝,3647548113,f,2022-11-23 19:58:57,#风起洛阳# 武思月这对be了不喜欢悲伤结局，喜欢大团圆,0,0,0
4839022939344156,追剧的憨憨子,5992567662,m,2022-11-23 17:40:36,#风起洛阳##王一博##宋轶#风起洛阳的大婚真的绝美！！！ 追剧的憨憨子的微博视频,4,0,0
4838531132031863,kronosvency_,6667716846,f,2022-11-22 09:06:20,"张俪

张俪｜风起洛阳｜窈娘
“骄傲的人连拭泪都是带着一股傲气”

歌排感谢：他的愿都实现了吗
#张俪##风起洛阳##没想到你是这样的张俪# kronosvency_的微博视频",123,26,10
4838819381117512,零号機専属操縦者,6692907055,f,2022-11-23 04:11:44,洛阳和钧瓷一样#收藏##手工##冷兵器##风起洛阳#网页链接,0,1,0
4838725122531079,陳叉丫叉丫,1105566525,f,2022-11-22 21:57:11,#风起洛阳# 国产剧只要不侧重于爱情，cp就一定be是吧,0,0,0
4838531400205676,旅行的石头老师,5211624599,m,2022-11-22 09:07:24,洛阳最值得去的十大绝美景点，你都去对了吗 #冬日的光与影# #迷人打卡地# #365天摄影计划# #洛阳# #风起洛阳# 绿洲 旅行的石头老师的微博视频,0,1,0
